iter	Passed	Remaining
400	16998	25391
401	17040	25348
402	17078	25300
403	17120	25256
404	17168	25222
405	17213	25184
406	17256	25142
407	17290	25087
408	17334	25048
409	17381	25012
410	17421	24967
411	17460	24919
412	17506	24882
413	17552	24845
414	17594	24802
415	17639	24762
416	17685	24726
417	17723	24677
418	17768	24638
419	17820	24609
420	17858	24560
421	17893	24508
422	17926	24452
423	17966	24406
424	18018	24377
425	18054	24327
426	18089	24275
427	18129	24229
428	18169	24183
429	18219	24150
430	18256	24102
431	18302	24064
432	18344	24020
433	18394	23989
434	18438	23948
435	18475	23899
436	18515	23853
437	18563	23819
438	18612	23784
439	18660	23749
440	18702	23707
441	18743	23662
442	18783	23617
443	18821	23568
444	18861	23523
445	18900	23477
446	18937	23428
447	18974	23379
448	19004	23321
449	19047	23280
450	19088	23236
451	19120	23181
452	19152	23127
453	19185	23072
454	19223	23026
455	19257	22974
456	19291	22922
457	19344	22891
458	19387	22851
459	19435	22816
460	19477	22773
461	19517	22728
462	19565	22692
463	19613	22656
464	19650	22609
465	19692	22566
466	19738	22528
467	19799	22507
468	19837	22460
469	19872	22409
470	19909	22361
471	19956	22323
472	20001	22284
473	20048	22247
474	20087	22202
475	20128	22158
476	20161	22105
477	20194	22053
478	20227	22001
479	20260	21948
480	20295	21899
481	20333	21851
482	20364	21798
483	20402	21751
484	20457	21722
485	20502	21683
486	20541	21637
487	20584	21596
488	20622	21550
489	20660	21504
490	20705	21464
491	20756	21431
492	20806	21396
493	20857	21364
494	20896	21318
495	20945	21282
496	20982	21235
497	21024	21193
498	21066	21151
499	21104	21104
500	21153	21068
501	21201	21032
502	21245	20992
503	21281	20943
504	21320	20898
505	21352	20845
506	21387	20796
507	21427	20752
508	21467	20708
509	21505	20662
510	21553	20625
511	21610	20597
512	21674	20575
513	21729	20546
514	21808	20538
515	21871	20514
516	21929	20487
517	21970	20443
518	22017	20405
519	22065	20367
520	22112	20329
521	22155	20287
522	22201	20248
523	22241	20204
524	22286	20164
525	22335	20127
526	22376	20083
527	22423	20045
528	22456	19994
529	22495	19948
530	22535	19904
531	22570	19855
532	22612	19812
533	22654	19769
534	22694	19725
535	22744	19689
536	22789	19649
537	22838	19612
538	22883	19572
539	22941	19543
540	22988	19504
541	23026	19458
542	23073	19419
543	23119	19379
544	23166	19340
545	23206	19296
546	23241	19247
547	23283	19204
548	23326	19162
549	23381	19130
550	23425	19088
551	23472	19050
552	23512	19005
553	23557	18964
554	23606	18928
555	23646	18883
556	23686	18838
557	23724	18792
558	23761	18745
559	23798	18698
560	23842	18657
561	23882	18612
562	23917	18564
563	23959	18521
564	23995	18474
565	24027	18424
566	24061	18374
567	24094	18325
568	24137	18283
569	24178	18240
570	24222	18198
571	24265	18156
572	24304	18111
573	24356	18076
574	24398	18033
575	24448	17996
576	24490	17954
577	24533	17911
578	24577	17870
579	24624	17831
580	24667	17789
581	24712	17748
582	24758	17708
583	24805	17669
584	24844	17624
585	24883	17580
586	24933	17542
587	24982	17504
588	25029	17465
589	25071	17422
590	25119	17384
591	25163	17342
592	25199	17295
593	25246	17256
594	25287	17212
595	25328	17169
596	25371	17126
597	25416	17085
598	25460	17044
599	25508	17005
600	25548	16961
601	25601	16925
602	25651	16888
603	25701	16850
604	25748	16810
605	25781	16762
606	25817	16715
607	25853	16668
608	25887	16620
609	25924	16574
610	25967	16532
611	26013	16492
612	26060	16452
613	26111	16415
614	26150	16370
615	26190	16326
616	26232	16283
617	26272	16239
618	26440	16274
619	26522	16255
620	26596	16232
621	26662	16203
622	26725	16172
623	26778	16136
624	26825	16095
625	26883	16061
626	26937	16025
627	26998	15992
628	27055	15958
629	27124	15930
630	27187	15898
631	27269	15878
632	27351	15857
633	27465	15855
634	27559	15841
635	27628	15812
636	27680	15774
637	27745	15742
638	27811	15711
639	27880	15683
640	27919	15636
641	27954	15588
642	28004	15548
643	28054	15508
644	28094	15462
645	28141	15421
646	28192	15381
647	28242	15341
648	28295	15302
649	28353	15267
650	28404	15227
651	28450	15185
652	28501	15145
653	28551	15105
654	28599	15063
655	28653	15025
656	28695	14981
657	28732	14933
658	28773	14888
659	28812	14842
660	28863	14802
661	28922	14766
662	28967	14724
663	29014	14682
664	29072	14645
665	29117	14602
666	29175	14566
667	29221	14523
668	29255	14474
