iter	Passed	Remaining
401	17608	26194
402	17643	26137
403	17685	26091
404	17729	26047
405	17762	25987
406	17826	25973
407	17865	25922
408	17918	25892
409	17958	25842
410	17988	25779
411	18034	25737
412	18063	25674
413	18093	25609
414	18127	25552
415	18164	25499
416	18204	25451
417	18241	25398
418	18278	25345
419	18307	25281
420	18341	25224
421	18393	25192
422	18445	25161
423	18492	25122
424	18539	25082
425	18576	25030
426	18638	25011
427	18700	24992
428	18756	24964
429	18824	24953
430	18884	24930
431	18945	24909
432	18996	24874
433	19037	24827
434	19094	24800
435	19146	24767
436	19187	24719
437	19245	24694
438	19286	24646
439	19335	24608
440	19370	24553
441	19411	24505
442	19442	24446
443	19486	24402
444	19526	24353
445	19560	24297
446	19595	24242
447	19628	24185
448	19656	24121
449	19686	24060
450	19716	24001
451	19756	23952
452	19788	23895
453	19819	23836
454	19852	23779
455	19889	23727
456	19919	23667
457	19946	23604
458	19980	23550
459	20007	23487
460	20035	23425
461	20071	23372
462	20114	23328
463	20159	23287
464	20202	23243
465	20243	23197
466	20280	23146
467	20317	23095
468	20358	23049
469	20393	22997
470	20430	22946
471	20465	22893
472	20505	22846
473	20543	22797
474	20580	22746
475	20615	22694
476	20650	22641
477	20680	22584
478	20711	22527
479	20741	22470
480	20783	22425
481	20823	22378
482	20857	22326
483	20895	22277
484	20938	22234
485	20969	22178
486	20999	22120
487	21035	22069
488	21062	22010
489	21091	21952
490	21120	21895
491	21152	21840
492	21194	21796
493	21228	21744
494	21266	21695
495	21304	21647
496	21343	21601
497	21381	21553
498	21417	21503
499	21459	21459
500	21491	21405
501	21517	21346
502	21542	21285
503	21575	21233
504	21610	21182
505	21643	21130
506	21683	21084
507	21713	21029
508	21744	20975
509	21776	20922
510	21807	20868
511	21837	20814
512	21868	20759
513	21900	20707
514	21927	20649
515	21961	20599
516	21991	20545
517	22020	20489
518	22052	20437
519	22080	20382
520	22107	20325
521	22133	20267
522	22174	20224
523	22205	20171
524	22242	20124
525	22278	20075
526	22312	20025
527	22343	19974
528	22372	19919
529	22399	19863
530	22434	19814
531	22467	19765
532	22495	19709
533	22526	19658
534	22559	19607
535	22588	19554
536	22619	19502
537	22645	19446
538	22677	19395
539	22712	19347
540	22754	19305
541	22792	19260
542	22828	19213
543	22880	19179
544	22936	19148
545	22984	19111
546	23020	19064
547	23059	19020
548	23100	18976
549	23154	18944
550	23194	18900
551	23228	18852
552	23275	18813
553	23316	18771
554	23374	18741
555	23430	18710
556	23493	18685
557	23539	18645
558	23600	18618
559	23634	18569
560	23684	18534
561	23739	18501
562	23786	18462
563	23839	18428
564	23885	18389
565	23932	18350
566	23975	18309
567	24017	18266
568	24059	18224
569	24126	18200
570	24183	18169
571	24235	18134
572	24283	18096
573	24345	18068
574	24385	18023
575	24440	17990
576	24482	17948
577	24517	17900
578	24563	17860
579	24595	17810
580	24627	17760
581	24661	17712
582	24709	17673
583	24746	17627
584	24780	17579
585	24814	17531
586	24853	17486
587	24884	17435
588	24925	17392
589	24958	17343
590	24983	17289
591	25011	17237
592	25046	17190
593	25076	17139
594	25108	17090
595	25135	17038
596	25166	16988
597	25193	16936
598	25220	16884
599	25250	16833
600	25288	16789
601	25325	16743
602	25359	16696
603	25394	16649
604	25429	16602
605	25460	16553
606	25488	16502
607	25529	16459
608	25564	16413
609	25590	16360
610	25629	16317
611	25668	16273
612	25703	16227
613	25738	16181
614	25779	16138
615	25818	16094
616	25858	16051
617	25895	16006
618	25933	15962
619	25971	15918
620	26008	15872
621	26044	15827
622	26080	15782
623	26117	15737
624	26153	15691
625	26189	15646
626	26216	15595
627	26244	15545
628	26272	15495
629	26302	15447
630	26340	15403
631	26376	15358
632	26415	15315
633	26450	15269
634	26478	15220
635	26520	15178
636	26557	15134
637	26594	15089
638	26628	15043
639	26660	14996
640	26697	14952
641	26722	14901
642	26750	14852
643	26788	14808
644	26814	14758
645	26846	14711
646	26883	14667
647	26913	14619
648	26947	14573
649	26973	14524
650	27005	14477
651	27038	14431
652	27068	14383
653	27098	14336
654	27128	14288
655	27163	14244
656	27202	14201
657	27236	14156
658	27264	14107
659	27301	14064
660	27339	14021
661	27371	13975
662	27401	13928
663	27436	13883
664	27472	13839
665	27501	13792
666	27533	13746
667	27563	13699
668	27600	13655
669	27627	13607
670	27666	13565
671	27710	13525
672	27751	13484
673	27801	13446
674	27844	13406
